level1,level2,level3,function.,pge01b,pge02b,pge03b,pge04b,pge05b,pge06b,pge07b,pge08b,pge09b,pge10b,pge01c,pge02c,pge03c,pge04c,pge05c,pge06c,pge07c,pge08c,pge09c,pge10c,pgw01b,pgw02b,pgw03b,pgw04b,pgw05b,pgw06b,pgw07b,pgw08b,pgw09b,pgw10b,pgw01c,pgw02c,pgw03c,pgw04c,pgw05c,pgw06c,pgw07c,pgw08c,pgw09c,pgw10c
Cell Division and Cell Cycle,NULL,Two_cell_division_clusters_relating_to_chromosome_partitioning,Segregation and condensation protein A,8,16,37,23,18,21,19,23,28,15,15,22,27,25,22,12,20,23,16,8,22,11,14,18,11,15,13,11,24,17,21,21,18,17,17,13,10,16,20,16
Cell Division and Cell Cycle,NULL,Two_cell_division_clusters_relating_to_chromosome_partitioning,Segregation and condensation protein B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,10,7,19,11,17,19,15,11,18,16,17
Cell Division and Cell Cycle,NULL,YgjD_and_YeaZ,"Inactive homolog of metal-dependent proteases, putative molecular chaperone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,11,8,9,11,13,6,9,7,10,11,9
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Alginate biosynthesis protein Alg8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Alginate biosynthesis transcriptional activator,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Alginate lyase precursor (EC 4.2.2.3),2,0,0,2,1,3,0,1,0,2,0,1,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,2,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,GDP-mannose 6-dehydrogenase (EC 1.1.1.132),5,0,0,3,6,11,12,8,3,10,2,0,3,1,10,3,3,10,2,8,5,3,4,4,3,2,8,2,4,10,8,9,7,10,2,5,2,0,1,3
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Hexuronate transporter,11,19,15,11,8,13,14,10,12,17,15,11,9,14,13,10,19,20,7,4,10,16,4,10,16,8,12,16,15,10,5,5,9,10,7,6,10,6,16,12
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Mannose-6-phosphate isomerase (EC 5.3.1.8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,17,17,2,7,21,10,20,19,11,12,20
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Pectin degradation protein KdgF,1,3,1,1,1,2,2,2,2,0,1,1,3,1,0,2,2,1,0,2,0,2,2,1,4,1,0,1,0,1,0,1,1,1,0,3,3,0,1,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Poly(beta-D-mannuronate) C5 epimerase precursor (EC 5.1.3.-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,poly(beta-D-mannuronate) lyase (EC 4.2.2.3),2,1,0,1,2,0,3,0,0,0,0,0,0,2,1,4,0,0,2,0,0,1,2,1,1,1,0,0,2,1,2,6,1,3,2,3,0,1,1,2
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-),23,21,16,26,26,20,22,21,17,34,25,15,29,25,28,26,29,18,28,20,19,15,17,18,18,14,20,19,17,15,19,19,27,22,19,26,17,18,22,16
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,RNA polymerase sigma-H factor AlgT,0,6,2,0,1,1,2,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,3,1,0,0,0,0,2,0,1,0,1,0,0,0,2
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate_metabolism,alginate biosynthesis protein AlgJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,Capsular polysaccharide biosynthesis fatty acid synthase WcbR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,D-glycero-D-manno-heptose 1-phosphate guanosyltransferase,6,4,4,1,7,7,7,2,5,5,6,4,3,4,5,2,4,1,3,6,4,5,7,7,6,6,5,4,5,1,2,8,3,5,2,3,2,2,2,4
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)",3,8,6,6,10,13,12,8,7,15,5,4,4,17,6,5,9,8,8,11,12,6,5,6,6,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,"D,D-heptose 7-phosphate kinase",10,12,18,12,21,17,12,17,10,8,13,11,16,6,17,6,15,12,8,12,13,15,8,8,11,16,3,17,17,10,11,13,19,9,20,20,11,14,14,10
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",18,18,16,17,18,23,22,16,12,15,14,14,16,17,9,13,17,17,10,10,21,17,10,15,14,11,11,20,17,11,16,16,10,15,14,12,17,10,16,13
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,GDP-L-fucose synthetase (EC 1.1.1.271),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,5,2,8,3,4,5,9,5,7,5,9
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,Phosphoheptose isomerase (EC 5.3.1.-),5,13,8,5,13,11,7,7,12,8,5,9,12,15,9,4,12,12,10,7,10,10,4,10,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,Phosphoheptose isomerase 1 (EC 5.3.1.-),11,19,14,7,22,11,16,8,15,19,14,18,20,14,8,14,12,10,15,12,17,8,15,17,12,9,8,11,15,13,7,13,10,15,18,13,10,9,11,6
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_heptose_biosynthesis,Phosphoheptose isomerase 2 (EC 5.3.1.-),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharide_(CPS)_of_Campylobacter,"Capsular polysaccharide ABC transporter, ATP-binding protein KpsT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,3,0,4,0,0,5,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharide_(CPS)_of_Campylobacter,"Capsular polysaccharide ABC transporter, permease protein KpsM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharide_(CPS)_of_Campylobacter,Capsular polysaccharide export system inner membrane protein KpsE,0,1,1,1,3,2,0,0,4,2,1,1,1,0,0,1,1,3,0,0,1,2,0,1,1,0,1,2,0,0,1,0,1,0,0,3,0,1,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharide_(CPS)_of_Campylobacter,Capsular polysaccharide export system periplasmic protein KpsD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharide_(CPS)_of_Campylobacter,Capsular polysaccharide export system protein KpsF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,"Capsular polysaccharide ABC transporter, ATP-binding protein KpsT",1,2,5,0,1,0,1,0,0,1,0,3,1,1,2,1,1,3,0,0,2,3,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,"Capsular polysaccharide ABC transporter, permease protein KpsM",1,3,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide biosynthesis glycosyltransferase,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide biosynthesis protein CapD,0,1,1,1,0,5,0,2,0,1,0,3,0,1,0,2,2,2,1,0,3,3,3,4,3,1,2,0,0,0,8,0,4,2,1,3,1,2,1,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide biosynthesis protein WcbQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide biosynthesis/export periplasmic protein WcbA,0,1,1,2,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide biosynthesis/export periplasmic protein WcbC,0,0,0,1,1,1,1,1,0,1,1,2,1,1,3,2,1,1,0,1,2,0,2,2,0,2,0,1,0,0,3,0,2,0,3,2,0,2,1,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide export system protein KpsC,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide export system protein KpsS,0,3,1,1,1,2,3,0,0,0,0,0,3,2,0,2,3,2,4,0,1,0,1,0,2,3,0,1,1,2,0,0,0,0,1,0,1,2,0,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Capsular polysaccharide glycosyltransferase biosynthesis protein WcbB,0,1,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,1,0,0,2,0,1,0,0,0,1,1,1,0,1,0,1,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,"CMP-Kdo synthetase, KpsU",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,"Glycosyl transferase, group 1 family protein (EC 2.4.1.-)",0,0,0,0,0,2,0,0,0,0,2,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48),1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,O-antigen flippase Wzx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Polysaccharide export lipoprotein Wza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Putative capsular polysaccharide transport protein YegH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Tyrosine-protein kinase Wzc (EC 2.7.10.2),9,2,4,9,6,4,2,11,2,9,8,6,2,6,11,5,10,4,6,4,8,3,3,6,9,8,8,11,6,6,6,9,8,4,0,11,11,5,6,8
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,UDP-N-acetylglucosamine 4-epimerase (EC 5.1.3.7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_Polysaccharides_Biosynthesis_and_Assembly,Oligosaccharide repeat unit polymerase Wzy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_surface_virulence_antigen_loci,Vi polysaccharide biosynthesis protein tviE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular_surface_virulence_antigen_loci,Vi polysaccharide export protein vexE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,CMP-N-acetylneuraminate_Biosynthesis,N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,7,3,9,1,5,2,2,1,5
Cell Wall and Capsule,Capsular and extracellular polysacchrides,CMP-N-acetylneuraminate_Biosynthesis,N-acetylneuraminate synthase (EC 2.5.1.56),4,4,9,8,2,8,12,10,2,16,9,4,4,6,4,5,5,11,6,3,6,10,5,6,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,CMP-N-acetylneuraminate_Biosynthesis,"Sialic acid biosynthesis protein NeuD, O-acetyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-),0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosynthesis glycosyl transferase WcaE,0,0,1,0,1,0,0,2,0,2,1,1,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,2
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosynthesis glycosyl transferase WcaL,3,1,2,1,3,0,2,0,3,1,0,0,1,2,1,0,3,1,0,2,2,1,0,0,0,0,3,1,1,2,2,1,1,1,1,2,2,0,1,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosynthsis UDP-glucose lipid carrier transferase WcaJ,1,1,0,1,1,0,1,0,0,0,1,1,0,0,3,1,1,2,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,1,0,0,2,0,0,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosysnthesis glycosyl transferase WcaI,0,3,0,1,1,0,0,0,1,2,0,0,0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,1,2,0,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosysnthesis protein WcaK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,GDP-L-fucose synthetase (EC 1.1.1.271),6,10,6,3,12,7,8,4,6,7,1,2,6,3,12,6,6,13,5,4,7,8,4,5,13,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,3,7,8,8,7,5,9,2,8,11
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Lipopolysaccharide biosynthesis protein WzxC,0,1,1,0,0,0,1,1,2,0,2,0,1,1,0,0,0,0,1,0,1,1,1,2,1,0,2,1,2,2,0,0,2,0,1,3,1,1,1,2
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Polysaccharide export lipoprotein Wza,0,2,0,2,3,1,0,0,0,1,0,0,4,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic_acid_biosynthesis,Colanic acid biosynthesis glycosyl transferase WcaA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,dTDP-rhamnose_synthesis,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),44,41,46,52,32,37,41,30,44,57,45,47,44,49,31,39,25,34,28,52,47,41,20,21,59,24,0,0,47,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,dTDP-rhamnose_synthesis,"dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL",4,3,0,1,2,8,4,5,1,2,3,4,2,1,4,2,3,2,4,5,4,8,3,4,2,9,8,0,4,1,4,3,1,7,2,5,3,1,2,5
Cell Wall and Capsule,Capsular and extracellular polysacchrides,dTDP-rhamnose_synthesis,dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,dTDP-rhamnose_synthesis,Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33),11,13,15,5,12,15,9,12,12,16,8,17,15,7,16,19,17,13,12,6,11,10,9,2,10,13,1,8,15,5,3,7,14,17,7,16,14,13,14,18
Cell Wall and Capsule,Capsular and extracellular polysacchrides,dTDP-rhamnose_synthesis,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,61,53,35,33,44,33,51,37,23,60,37
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-),1,0,2,1,4,2,2,3,4,0,0,3,1,1,0,0,2,0,0,0,0,4,2,2,1,0,4,3,1,4,6,2,0,3,0,2,2,0,3,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,"Exopolysaccharide biosynthesis transcription antiterminator, LytR family",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,"Glycosyl transferase, group 1 family protein",3,6,4,11,5,3,4,4,7,6,7,6,5,10,9,5,6,8,4,12,4,3,4,6,1,6,1,4,4,4,2,4,10,7,10,6,4,5,8,5
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,"Glycosyl transferase, group 2 family protein",35,30,23,37,34,41,29,24,31,39,29,41,31,34,39,28,41,33,51,27,31,37,33,27,29,42,18,28,25,26,25,30,25,40,28,28,31,28,25,34
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48),1,1,2,3,1,0,5,1,2,2,2,0,0,2,5,4,1,1,0,3,3,2,4,1,3,2,3,5,4,3,0,0,1,3,3,2,2,0,1,2
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,Tyrosine-protein kinase transmembrane modulator EpsC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide_Biosynthesis,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,17,14,31,16,15,16,15,20,11,18,20
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular_Polysaccharide_Biosynthesis_of_Streptococci,Galactosyl transferase CpsE (EC 2.7.8.-),0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,3,1,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular_Polysaccharide_Biosynthesis_of_Streptococci,Polysaccharide biosynthesis glycosyl transferase CpsO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular_Polysaccharide_Biosynthesis_of_Streptococci,Tyrosine-protein kinase EpsD (EC 2.7.10.2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,2,3,5,3,1,4,6,6,3,1,6
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular_Polysaccharide_Biosynthesis_of_Streptococci,Tyrosine-protein phosphatase CpsB (EC 3.1.3.48),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular_Polysaccharide_Biosynthesis_of_Streptococci,Capsular polysaccharide biosynthesis protein Cps4E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular_Polysaccharide_Biosynthesis_of_Streptococci,Capsular polysaccharide repeat unit transporter CpsL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic_Acid_Biosynthesis,Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE,0,1,1,1,1,0,4,2,2,1,0,1,1,0,0,2,1,1,0,0,0,2,0,0,0,2,1,0,0,0,2,2,2,1,0,2,1,1,1,1
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic_Acid_Biosynthesis,Bacillosamine/Legionaminic acid biosynthesis N-acetyltrasferase PglD (PseH and NeuD homolog),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic_Acid_Biosynthesis,Legionaminic acid biosynthesis protein PtmA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic_Acid_Biosynthesis,Legionaminic acid biosynthesis protein PtmF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic_Acid_Biosynthesis,Legionaminic acid biosynthesis protein PtmG,0,0,0,2,0,0,1,1,1,0,4,1,1,0,2,3,0,0,1,0,3,1,0,2,1,0,0,0,0,0,0,5,0,1,1,1,0,2,0,0
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic_Acid_Biosynthesis,Legionaminic acid cytidylyltransferase (EC 2.7.7.43),0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0
