level1,level2,level3,funct,pgeb.1,pgeb.2,pgeb.3,pgeb.4,pgec.1,pgec.2,pgec.3,pgec.4,pgwb.1,pgwb.2,pgwb.3,pgwb.4,pgwc.1,pgwc.2,pgwc.3,pgwc.4,rcb.1,rcb.2,rcb.3,rcb.4,rcc.1,rcc.2,rcc.3,rcc.4
Clustering-based subsystems,NULL,EC49-61,Organic solvent tolerance protein precursor,7.92E-05,0.000129808,0.000103953,5.88E-05,0.000121553,3.70E-05,0.000103722,0.000117017,0.000141287,0.000149869,7.81E-05,0.000132597,0.000186532,0.000118299,0.000112942,4.15E-05,0.000117486,3.00E-05,0.000156377,5.13E-05,7.84E-05,0.000120571,7.99E-05,9.44E-05
Clustering-based subsystems,NULL,CBSS-290633.1.peg.1906,"Outer membrane protein YfgL, lipoprotein component of the protein assembly complex (forms a complex with YaeT, YfiO, and NlpB)",7.92E-05,2.60E-05,6.06E-05,0.00014705,8.10E-05,0,0.000133357,8.78E-05,5.65E-05,5.99E-05,6.25E-05,0,3.73E-05,0,5.65E-05,4.15E-05,7.55E-05,5.00E-05,9.38E-05,3.85E-05,1.74E-05,0.000120571,2.00E-05,5.51E-05
Clustering-based subsystems,Probably Ybbk-related hypothetical membrane proteins,CBSS-316057.3.peg.659,Outer membrane protein/protective antigen OMA87,0.000105636,0.000103846,8.66E-06,5.88E-05,0.000405178,0.000443623,2.96E-05,9.75E-06,5.65E-05,0.000329712,4.69E-05,0.000132597,1.87E-05,0.000135199,0.000282355,0.00016592,9.23E-05,1.00E-04,0,2.56E-05,2.61E-05,0,9.99E-06,0.000236062
Clustering-based subsystems,NULL,Staphylococcus_aureus_hypothetical_repetitive_gene_loci,Oxidoreductase ion channel,0,0,0,0,0,0,0,0,0,0,1.56E-05,0,0,0,0,0,0,1.00E-05,0,0,8.71E-06,1.34E-05,0,7.87E-06
Clustering-based subsystems,Shiga toxin cluster,CBSS-194948.1.peg.143,P protein,0.000554587,0.000856731,0.000710344,0.000735251,0.000911651,0.00077634,0.00075569,0.000770363,0.00053689,0.000854253,0.00076535,0.000707182,0.000373065,0.000980193,0.0007793,0.001037,0.000746876,0.000839706,0.000648965,0.000589933,0.000740721,0.000696631,0.00078888,0.000841956
Clustering-based subsystems,NULL,Lipopolysaccharide_assembly_cluster,"PTS system nitrogen-specific IIA component, PtsN",5.28E-05,3.89E-05,3.47E-05,2.94E-05,4.05E-05,0,0.000133357,2.93E-05,5.65E-05,0,0,2.21E-05,5.60E-05,1.69E-05,6.78E-05,4.15E-05,5.87E-05,3.00E-05,7.82E-05,2.56E-05,3.49E-05,5.36E-05,5.99E-05,2.36E-05
Clustering-based subsystems,Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE,CBSS-83331.1.peg.3039,Penicillin-binding protein 2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0
Clustering-based subsystems,NULL,CBSS-224911.1.peg.435,Peptidase M23B precursor,0,3.89E-05,3.47E-05,2.94E-05,4.05E-05,0,1.48E-05,1.95E-05,5.65E-05,0,3.12E-05,0,3.73E-05,5.07E-05,5.65E-05,8.30E-05,8.39E-06,4.00E-05,3.91E-05,5.13E-05,6.97E-05,2.68E-05,7.99E-05,7.08E-05
Clustering-based subsystems,Protein export?,CBSS-393121.3.peg.2760,Peptide chain release factor 2,0.000607405,0.001025481,0.000545752,0.000588201,0.00074958,0.000480591,0.000651968,0.000624092,0.000875978,0.000764331,0.000780969,0.000574586,0.000727476,0.000726695,0.000971301,0.00066368,0.000755268,0.000669766,0.000758429,0.000743828,0.00061872,0.000696631,0.000589163,0.000653106
Clustering-based subsystems,tRNA sulfuration,CBSS-89187.3.peg.2957,Peptide deformylase (EC 3.5.1.88),0.000290498,0.000623077,0.000770983,0.00041174,0.000546991,0.000591497,0.00063715,0.00061434,0.000649919,0.000629449,0.00101526,0.000707182,0.000708823,0.000828094,0.000801888,0.00049776,0.000713309,0.00062978,0.000914806,0.00066688,0.000531577,0.000602854,0.000509277,0.000779006
Clustering-based subsystems,Carbohydrates,Putative_sugar_ABC_transporter_(ytf_cluster),Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11),0.000924312,0.000739904,0.000814297,0.000882301,0.001053463,0.001626617,0.000889047,0.001101912,0.001412868,0.000644436,0.000718492,0.001524862,0.000951315,0.000675995,0.000722829,0.00087108,0.000830795,0.000809717,0.000906987,0.001000321,0.000714578,0.000964566,0.000768908,0.000849825
Clustering-based subsystems,NULL,Cell_division-ribosomal_stress_proteins_cluster,Peptidyl-tRNA hydrolase (EC 3.1.1.29),0.000448952,0.000467308,0.000580403,0.00038233,0.000243107,0.000147874,0.000740872,0.000497323,0.000395603,0.000314725,0.000562298,0.00039779,0.000335758,0.000388697,0.000463062,0.00033184,0.000352458,0.000359874,0.00047695,0.000436037,0.000435718,0.000602854,0.000299575,0.000417044
Clustering-based subsystems,NULL,CBSS-159087.4.peg.2189,Phage T7 exclusion protein,7.92E-05,3.89E-05,0,0,0.000222848,0.00025878,4.45E-05,1.95E-05,0,5.99E-05,1.56E-05,6.63E-05,0,3.38E-05,0.000146825,0,5.04E-05,4.00E-05,3.13E-05,1.28E-05,3.49E-05,2.68E-05,3.00E-05,7.08E-05
Clustering-based subsystems,NULL,CBSS-159087.4.peg.2189,Phage T7 exclusion protein associated hypothetical protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0
Clustering-based subsystems,Phosphate metabolism,PhoR-PhoB_two-component_regulatory_system,Phosphate regulon metal ion transporter containing CBS domains,0,0,0,2.94E-05,0,0,0,9.75E-06,0,0,1.56E-05,2.21E-05,1.87E-05,0,0,0,0,1.00E-05,0,0,2.61E-05,0,0,1.57E-05
Clustering-based subsystems,NULL,tRNA-methylthiotransferase_containing_cluster,Phosphate starvation-inducible ATPase PhoH with RNA binding motif,0.000105636,5.19E-05,6.06E-05,2.94E-05,0.000121553,0,0.000148174,8.78E-05,0.000141287,5.99E-05,6.25E-05,6.63E-05,0.000111919,0.000101399,9.04E-05,0.00024888,0.000176229,0.000109962,0.000117283,0.000179545,6.10E-05,0.000160761,0.000109844,0.000133769
Clustering-based subsystems,Fatty acid metabolic cluster,COG1399,Phosphate:acyl-ACP acyltransferase PlsX,0.000580996,0.000129808,0.000268545,0.00026469,0.000465955,0.000739372,0.000414889,0.000302295,0.000367346,0.000509554,0.000374865,0.000331492,0.000298452,0.000388697,0.000327532,0.0002074,0.000335675,0.000129955,0.000304935,0.000230843,0.000357289,0.000428696,0.000229674,0.00031475
Clustering-based subsystems,Hypothetical lipase related to Phosphatidate metabolism,CBSS-316407.3.peg.1371,Phosphatidate cytidylyltransferase (EC 2.7.7.41),0.000316907,0.000298558,0.000415811,0.00032351,0.000344401,0.000295749,0.000251897,0.000380306,0.000254316,0.000344698,0.00026553,0.000331492,0.000317105,0.000405597,0.00035012,0.00037332,0.000386026,0.000209927,0.000422218,0.000256492,0.000305003,0.000415299,0.000289589,0.000322619
Clustering-based subsystems,NULL,Lipopolysaccharide_assembly_cluster,"Phosphocarrier protein, nitrogen regulation associated",0,2.60E-05,6.06E-05,5.88E-05,8.10E-05,3.70E-05,4.45E-05,6.83E-05,2.83E-05,7.49E-05,1.56E-05,6.63E-05,0.000111919,5.07E-05,4.52E-05,8.30E-05,4.20E-05,5.00E-05,6.26E-05,3.85E-05,5.23E-05,2.68E-05,0,4.72E-05
Clustering-based subsystems,Clustering-based subsystems,CBSS-262719.3.peg.410,"Phosphoesterase, DHH family protein",0,1.30E-05,0,0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,0,0,0,0,0,0
Clustering-based subsystems,Chromosome Replication,SeqA_and_Co-occurring_Genes,Phosphoglucomutase (EC 5.4.2.2),0.000369725,0.000558173,0.000441799,0.000558791,0.000526732,0.000739372,0.00063715,0.000390057,0.000395603,0.000749344,0.000468582,0.000707182,0.000391718,0.000642196,0.000609887,0.00049776,0.000427985,0.000439846,0.000562957,0.000436037,0.000662292,0.000482283,0.00035949,0.000479994
Clustering-based subsystems,NULL,CBSS-235.1.peg.567,Phosphohistidine phosphatase SixA,2.64E-05,7.79E-05,4.33E-05,0.00017646,0.000141812,0.000147874,4.45E-05,7.80E-05,2.83E-05,0.000104908,4.69E-05,0,5.60E-05,0,5.65E-05,0,4.20E-05,0.000109962,9.38E-05,3.85E-05,8.71E-05,4.02E-05,3.99E-05,0.0001259
Clustering-based subsystems,NULL,CBSS-269801.1.peg.1715,Phosphopantetheine adenylyltransferase (EC 2.7.7.3),0.000264089,0.000233654,0.000459125,0.000647021,0.000445696,0.000147874,0.000385254,0.000497323,0.000452118,0.000359685,0.000312388,0.000574586,0.000205186,0.000675995,0.00042918,0.00058072,0.000293715,0.000549808,0.000492588,0.000256492,0.00047929,0.000468886,0.000469334,0.0002518
Clustering-based subsystems,NULL,Nucleoside_Catabolism_cluster,Phosphopentomutase (EC 5.4.2.7),0.000264089,0.00016875,0.000259882,0.00032351,0.000283625,0,0.000177809,0.000380306,0.000254316,0.000299738,7.81E-05,0.000198895,0.000205186,0.000354898,7.91E-05,0.00012444,0.000176229,0.000109962,0.000211109,0.000282142,0.000305003,0.000200951,0.00023966,0.000118031
Clustering-based subsystems,NULL,Cluster_with_phosphopentomutase_paralog,Phosphotriesterase like protein,0,0,0,0,0,0,0,0,0,0,1.56E-05,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0
Clustering-based subsystems,Carotenoid biosynthesis,CBSS-320388.3.peg.3759,Phytoene synthase (EC 2.5.1.32),0.000422543,0.000415385,0.000744995,0.00035292,0.000303884,0.000369686,0.000592698,0.000692352,0.00053689,0.00043462,0.000562298,0.000596685,0.00057825,0.000675995,0.000880948,0.00070516,0.000688133,0.000419853,0.000641146,0.000538634,0.000461862,0.000723424,0.000868766,0.000550812
Clustering-based subsystems,Methylamine utilization,CBSS-265072.7.peg.546,"PlcB, ORFX, ORFP, ORFB, ORFA, ldh gene",2.64E-05,0.000116827,0.000138604,0,4.05E-05,7.39E-05,0.00011854,0.00013652,0.000141287,5.99E-05,4.69E-05,2.21E-05,1.87E-05,5.07E-05,4.52E-05,8.30E-05,8.39E-05,0.000109962,4.69E-05,5.13E-05,7.84E-05,0.000107174,0.000169759,4.72E-05
Clustering-based subsystems,NULL,Spore_Coat,Polypeptide composition of the spore coat protein CotJC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87E-06
Clustering-based subsystems,Probably Ybbk-related hypothetical membrane proteins,CBSS-316057.3.peg.659,"Polysialic acid capsule sugar isomerase, KpsF/GutQ family",0,5.19E-05,2.60E-05,5.88E-05,0,3.70E-05,1.48E-05,9.75E-06,5.65E-05,0,1.56E-05,0,0,0,1.13E-05,8.30E-05,5.04E-05,0,2.35E-05,1.28E-05,8.71E-06,4.02E-05,9.99E-06,7.87E-06
Clustering-based subsystems,NULL,Disulphide_related_cluster,Polysulfide binding protein,2.64E-05,0,8.66E-06,0,6.08E-05,0,1.48E-05,1.95E-05,0,1.50E-05,4.69E-05,4.42E-05,0,0,1.13E-05,0,1.68E-05,1.00E-05,6.26E-05,0,8.71E-06,0,3.99E-05,7.87E-06
Clustering-based subsystems,"Choline bitartrate degradation, putative",CBSS-344610.3.peg.2335,Positive regulator of Tartrate dehydrogenase/decarboxylase/D-malic enzyme,0,0,1.73E-05,0,2.03E-05,0,1.48E-05,0,2.83E-05,0,3.12E-05,0,0,1.69E-05,0,0,0,0,7.82E-06,0,8.71E-06,0,9.99E-06,7.87E-06
Clustering-based subsystems,NULL,CBSS-224911.1.peg.435,Possible divergent polysaccharide deacetylase,0,3.89E-05,2.60E-05,0,4.05E-05,0,0,1.95E-05,2.83E-05,0,1.56E-05,0,5.60E-05,3.38E-05,4.52E-05,0,0,0,2.35E-05,0,3.49E-05,0,3.99E-05,7.87E-06
Clustering-based subsystems,NULL,Cluster_co-expressed_with_butyrate_metabolism_cluster,Potassium uptake protein TrkH,2.64E-05,0,0,0,0,3.70E-05,0,0,0,0,3.12E-05,2.21E-05,1.87E-05,1.69E-05,3.39E-05,0,0,0,1.56E-05,0,0,0,0,0
Clustering-based subsystems,NULL,CBSS-160492.1.peg.550,Predicted endonuclease distantly related to archaeal Holliday junction resolvase,0,1.30E-05,8.66E-06,5.88E-05,2.03E-05,0,2.96E-05,1.95E-05,0,0,3.12E-05,2.21E-05,0,0,2.26E-05,0,0,0,3.13E-05,1.28E-05,1.74E-05,4.02E-05,9.99E-06,2.36E-05
Clustering-based subsystems,NULL,Conserved_cluster_around_acetyltransferase_YpeA_in_Enterobacteria,"Predicted iron-dependent peroxidase, Dyp-type family",0.000105636,5.19E-05,6.06E-05,2.94E-05,0.000141812,0,2.96E-05,0.000107266,8.48E-05,3.00E-05,4.69E-05,4.42E-05,0.000111919,0.000118299,0,0,5.04E-05,6.00E-05,7.82E-05,3.85E-05,6.10E-05,2.68E-05,6.99E-05,3.15E-05
Clustering-based subsystems,NULL,Divergent_RNA_modification_related_clusters,Predicted nucleoside phosphatase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0
Clustering-based subsystems,Clustering-based subsystems,Putative_diaminopropionate_ammonia-lyase_cluster,"Predicted oxidoreductase, Fe-S subunit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71E-06,0,0,0
Clustering-based subsystems,DNA polymerase III epsilon cluster,CBSS-342610.3.peg.1536,Predicted signal-transduction protein containing cAMP-binding and CBS domains,0,2.60E-05,2.60E-05,0,2.03E-05,3.70E-05,1.48E-05,3.90E-05,8.48E-05,3.00E-05,3.12E-05,0,0,6.76E-05,0,0,5.04E-05,2.00E-05,2.35E-05,1.28E-05,6.10E-05,8.04E-05,2.00E-05,2.36E-05
Clustering-based subsystems,NULL,LSU_ribosomal_proteins_cluster,Preprotein translocase subunit SecE (TC 3.A.5.1.1),7.92E-05,0.000129808,0.000216568,0.00014705,0.000121553,3.70E-05,0.000266714,0.000214532,0.000254316,0.000104908,0.000234291,0.000154696,0.000167879,0.000219699,4.52E-05,4.15E-05,0.000125878,0.000169941,0.000195471,0.000128246,6.10E-05,0.000281332,9.99E-05,0.0001259
Clustering-based subsystems,Cytochrome biogenesis,CBSS-196164.1.peg.1690,Probable NADPH:quinone reductase (EC 1.6.5.5),0,0,1.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E-05,0,0,2.00E-05,0
Clustering-based subsystems,NULL,CBSS-83332.1.peg.3803,Probable acyl-CoA dehydrogenase fadE35 (EC 1.3.99.-),0,3.89E-05,8.66E-06,0,4.05E-05,0,4.45E-05,4.88E-05,2.83E-05,1.50E-05,1.56E-05,0,0,1.69E-05,0,0,8.39E-06,1.00E-05,1.56E-05,3.85E-05,0,0,9.99E-06,1.57E-05
Clustering-based subsystems,NULL,CBSS-393124.3.peg.2657,Probable carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23),0.000132045,0.000116827,0.000112616,5.88E-05,6.08E-05,0,0.000133357,0.000146272,8.48E-05,0.000104908,0.000109336,8.84E-05,0.000186532,0.000135199,5.65E-05,4.15E-05,0.000209797,0.000169941,0.000125102,0.000128246,0.000122001,6.70E-05,0.000169759,0.000157375
Clustering-based subsystems,Proteasome related clusters,Proteasome_subunit_alpha_archaeal_cluster,Probable exosome complex RNA-binding protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,0,1.28E-05,0,0,0,0
Clustering-based subsystems,Proteasome related clusters,Proteasome_subunit_alpha_archaeal_cluster,Probable exosome complex exonuclease 2 (EC 3.1.13.-),0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,0,0,0,0,0,7.87E-06
Clustering-based subsystems,NULL,CBSS-83332.1.peg.3803,"Probable polyketide synthase, similar to many. e.g. gp|M63676|SERERYAA_1 S.erythraea first ORF of eryA gene, involved in complex polyketide formation in erythromycin biosynthesis.",2.64E-05,0,8.66E-06,0,0,0,0,9.75E-06,0,0,0,0,0,0,1.13E-05,0,0,0,1.56E-05,0,4.36E-05,2.68E-05,0,1.57E-05
Clustering-based subsystems,NULL,USS-DB-7,Protein ImpG/VasA,5.28E-05,0.000103846,0.000121278,0.00026469,6.08E-05,0.000221811,0.00011854,0.000224283,0.000282574,0.000104908,0.000109336,0.000309392,9.33E-05,6.76E-05,0.000112942,0.00024888,5.87E-05,5.00E-05,0.000125102,0.000115422,0.000122001,0.000133967,0.000189731,0.000118031
Clustering-based subsystems,NULL,CBSS-316273.3.peg.227,Protein SseB,0,0,0,0,0,0,0,9.75E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clustering-based subsystems,NULL,CBSS-323097.3.peg.2594,Protein YicC,0.000158453,9.09E-05,0.000129941,8.82E-05,0.000101295,3.70E-05,0.000162992,0.000117017,0.000113029,0.000104908,7.81E-05,6.63E-05,0.000186532,8.45E-05,0.000112942,0.00016592,5.87E-05,1.00E-05,0.000109464,3.85E-05,0.000156859,0.000107174,7.99E-05,3.93E-05
Clustering-based subsystems,NULL,RNA_modification_cluster,Protein YidD,0.000105636,0.000142789,0.000277207,0.00014705,0.000202589,0.000147874,0.000177809,0.000146272,8.48E-05,0.000119895,0.000124955,0.000132597,0.000186532,0.000168999,0.000112942,0.00029036,0.000209797,0.000149948,0.000258022,0.000128246,0.000174287,0.000120571,0.000259631,0.000110162
Clustering-based subsystems,NULL,Cluster_with_phosphopentomutase_paralog,Protein containing an Alanine Racemase Domain,0,1.30E-05,8.66E-06,0,0,0,1.48E-05,0,2.83E-05,0,0,0,0,0,0,0,8.39E-06,5.00E-05,3.91E-05,0,8.71E-06,4.02E-05,0,0
Clustering-based subsystems,Protein export?,CBSS-393121.3.peg.2760,Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1),0.002403211,0.002076924,0.002018417,0.002499853,0.002451328,0.001404806,0.002652323,0.002213576,0.002317104,0.002487823,0.002186714,0.002674033,0.002350308,0.002281484,0.002371783,0.00215696,0.002282588,0.002219223,0.002298743,0.002308432,0.002143735,0.002598968,0.002536398,0.001975056
Clustering-based subsystems,Protein export?,CBSS-393121.3.peg.2760,Protein export cytoplasm protein SecA2 ATPase RNA helicase (TC 3.A.5.1.1),0,0,8.66E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,9.99E-06,0
Clustering-based subsystems,NULL,CBSS-316407.3.peg.2816,Protein involved in stability of MscS mechanosensitive channel,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-05,0,0,0,0,2.35E-05,0,8.71E-06,1.34E-05,9.99E-06,0
Clustering-based subsystems,Hypothetical in Lysine biosynthetic cluster,CBSS-323850.3.peg.3269,Protein of unknown function DUF484,0,3.89E-05,0,2.94E-05,0,0,2.96E-05,4.88E-05,0,1.50E-05,0,2.21E-05,0,0,1.13E-05,0,0,0,0,1.28E-05,8.71E-06,1.34E-05,9.99E-06,7.87E-06
Clustering-based subsystems,NULL,CBSS-316407.3.peg.2816,Protein of unknown function DUF541,2.64E-05,3.89E-05,8.66E-06,0.00011764,4.05E-05,3.70E-05,1.48E-05,6.83E-05,8.48E-05,5.99E-05,0,0,1.87E-05,5.07E-05,2.26E-05,0.00012444,1.68E-05,0,7.82E-05,3.85E-05,2.61E-05,0,3.99E-05,2.36E-05
Clustering-based subsystems,NULL,Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase,Protein of unknown function Smg,0,0,8.66E-06,5.88E-05,0,0,1.48E-05,0,5.65E-05,5.99E-05,0,0,0,0,0,0,3.36E-05,2.00E-05,2.35E-05,0,0,4.02E-05,0,0
Clustering-based subsystems,NULL,USS-DB-7,Protein phosphatase ImpM,0,0,8.66E-06,0,0,0,0,0,0,0,1.56E-05,2.21E-05,1.87E-05,3.38E-05,0,0,8.39E-06,0,0,0,8.71E-06,0,9.99E-06,1.57E-05
Clustering-based subsystems,NULL,Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase,"Protein serine/threonine phosphatase PrpC, regulation of stationary phase",7.92E-05,9.09E-05,8.66E-05,8.82E-05,8.10E-05,7.39E-05,8.89E-05,9.75E-05,5.65E-05,8.99E-05,0.000124955,0,9.33E-05,0.000118299,6.78E-05,0.00012444,0.000117486,4.00E-05,0.000117283,0.00033344,0.000174287,0.000120571,7.99E-05,4.72E-05
Clustering-based subsystems,NULL,PFGI-1-like_cluster_1,Protein with ParB-like nuclease domain in PFGI-1-like cluster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71E-06,0,0,0
Clustering-based subsystems,NULL,Cell_wall_related_cluster,Protein-tyrosine kinase (EC 2.7.1.112),5.28E-05,2.60E-05,8.66E-06,0,2.03E-05,0,5.93E-05,0,0,3.00E-05,1.56E-05,0,0,0,1.13E-05,8.30E-05,5.87E-05,2.00E-05,1.56E-05,0,1.74E-05,4.02E-05,2.00E-05,7.87E-06
Clustering-based subsystems,"Putrescine/GABA utilization cluster-temporal,to add to SSs",GABA_and_putrescine_metabolism_from_cluters,Psp operon transcriptional activator,5.28E-05,2.60E-05,3.47E-05,5.88E-05,0,0,7.41E-05,3.90E-05,8.48E-05,7.49E-05,7.81E-05,0,0,1.69E-05,9.04E-05,4.15E-05,5.04E-05,1.00E-05,8.60E-05,1.28E-05,1.74E-05,4.02E-05,5.99E-05,6.30E-05
Clustering-based subsystems,proteosome related,Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related,"Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'",0.00023768,0.000402404,0.000355172,0.000470561,0.000141812,7.39E-05,0.000251897,0.000302295,0.000197802,0.000419633,0.000312388,0.000331492,0.000466331,0.000253498,0.000293649,0.00037332,0.000335675,0.000389864,0.000383124,0.000307791,0.000427004,0.000388506,0.00035949,0.000299012
Clustering-based subsystems,proteosome related,Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related,"Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'",0.00023768,0.000220673,0.000225231,0.00038233,0.000202589,0.000184843,0.000162992,0.000234034,0.000113029,0.000134882,0.000343627,0.000309392,0.000391718,0.000202799,0.000248472,0.00012444,0.000302107,0.00022992,0.000156377,0.000205194,0.000235288,0.000160761,0.000129816,0.000149506
Clustering-based subsystems,NULL,Ycd_cluster_(_putative_2-hydroxyacid_dehydrogenase_),Putative 2-hydroxyacid dehydrogenase YcdW (EC 1.-.-.-),0,1.30E-05,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clustering-based subsystems,Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase,CBSS-257314.1.peg.488,Putative Holliday junction resolvase,2.64E-05,0.000155769,7.80E-05,0.00011764,0.000141812,0.000110906,0.000148174,0.00013652,8.48E-05,0.000119895,0.000124955,4.42E-05,0.000111919,0.000118299,0.000192001,8.30E-05,7.55E-05,8.00E-05,9.38E-05,0.000102597,4.36E-05,5.36E-05,5.99E-05,0.000141637
Clustering-based subsystems,Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase,CBSS-257314.1.peg.488,Putative Holliday junction resolvase (EC 3.1.-.-),0.000158453,2.60E-05,6.06E-05,0.00014705,6.08E-05,0.000110906,5.93E-05,7.80E-05,0,0.000119895,0.000109336,4.42E-05,9.33E-05,0.000101399,0.000101648,0.00012444,8.39E-05,9.00E-05,7.82E-05,8.98E-05,9.59E-05,9.38E-05,9.99E-05,0.000102294
Clustering-based subsystems,Putative Isoquinoline 1-oxidoreductase subunit,CBSS-314267.3.peg.390,"Putative Isoquinoline 1-oxidoreductase subunit, Mll3835 protein",0,0,8.66E-06,0,0,0,2.96E-05,1.95E-05,0,1.50E-05,0,0,0,5.07E-05,1.13E-05,0,8.39E-06,0,7.82E-06,0,2.61E-05,0,9.99E-06,0
Clustering-based subsystems,Translation,CBSS-326442.4.peg.1852,Putative TEGT family carrier/transport protein,2.64E-05,0,8.66E-06,0,2.03E-05,0,1.48E-05,9.75E-06,2.83E-05,0,0,0,0,0,0,0,0,0,7.82E-06,0,0,0,9.99E-06,0
Clustering-based subsystems,Probably Ybbk-related hypothetical membrane proteins,CBSS-316057.3.peg.659,Putative activity regulator of membrane protease YbbK,0.000105636,7.79E-05,0.000155929,8.82E-05,0.000141812,0.000184843,0.000103722,6.83E-05,8.48E-05,4.50E-05,6.25E-05,4.42E-05,0.000149226,3.38E-05,5.65E-05,8.30E-05,0.000125878,0.000139951,7.04E-05,6.41E-05,8.71E-05,2.68E-05,3.00E-05,8.66E-05
Clustering-based subsystems,NULL,CBSS-196620.1.peg.2477,Putative antibiotic transport-associated protein,0,0,0,0,0,0,0,0,0,1.50E-05,0,0,0,0,0,0,0,0,0,0,1.74E-05,0,9.99E-06,0
Clustering-based subsystems,NULL,USS-DB-7,Putative cytoplasmic protein USSDB7A,2.64E-05,1.30E-05,7.80E-05,2.94E-05,0,3.70E-05,1.48E-05,9.75E-06,2.83E-05,0,4.69E-05,4.42E-05,0,0,0,0,1.68E-05,3.00E-05,0,0,1.74E-05,1.34E-05,2.00E-05,1.57E-05
Clustering-based subsystems,Clustering-based subsystems,Putative_diaminopropionate_ammonia-lyase_cluster,Putative deacetylase YgeY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39E-06,0,0,1.28E-05,0,0,0,0
Clustering-based subsystems,Clustering-based subsystems,Putative_diaminopropionate_ammonia-lyase_cluster,Putative diaminopropionate ammonia-lyase (EC 4.3.1.15),2.64E-05,0,8.66E-06,2.94E-05,0,0,0,9.75E-06,0,1.50E-05,1.56E-05,0,0,0,0,0,1.68E-05,0,7.82E-06,1.28E-05,1.74E-05,0,9.99E-06,2.36E-05
Clustering-based subsystems,"Choline bitartrate degradation, putative",CBSS-344610.3.peg.2335,"Putative dioxygenase, alpha subunit (EC 1.-.-.-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15E-05,0,0,0,0,0,0,0,0
Clustering-based subsystems,NULL,CBSS-83333.1.peg.946,Putative efflux (PET) family inner membrane protein YccS,0,0,8.66E-06,0,0,3.70E-05,0,9.75E-06,2.83E-05,1.50E-05,0,0,1.87E-05,0,0,4.15E-05,8.39E-06,0,7.82E-06,1.28E-05,8.71E-06,1.34E-05,2.00E-05,7.87E-06
Clustering-based subsystems,NULL,CBSS-342610.3.peg.1794,"Putative esterase, FIGfam005057",0,1.30E-05,8.66E-06,2.94E-05,0,3.70E-05,0,1.95E-05,2.83E-05,0,1.56E-05,0,0,1.69E-05,0,0,8.39E-06,0,7.82E-06,1.28E-05,2.61E-05,0,0,0
Clustering-based subsystems,NULL,CBSS-296591.1.peg.2330,Putative glycosyltransferase,0.000132045,2.60E-05,8.66E-06,8.82E-05,6.08E-05,7.39E-05,7.41E-05,2.93E-05,0,0.000104908,9.37E-05,0.000110497,5.60E-05,6.76E-05,0.000101648,4.15E-05,3.36E-05,3.00E-05,8.60E-05,2.56E-05,4.36E-05,1.34E-05,5.99E-05,7.87E-05
Clustering-based subsystems,Biosynthesis of galactoglycans and related lipopolysacharides,CBSS-258594.1.peg.3339,Putative glycosyltransferase protein,0,0,0,0,0,0,1.48E-05,0,0,1.50E-05,0,0,0,0,0,4.15E-05,0,0,0,0,0,0,0,0
